snapshot_date,provider_id,provider_name,raw_model_name,canonical_model,model_family,tier,channel_type,unit,price_usd,source_url,captured_at,confidence,method,notes
2026-08-23,atlascloud,Atlas Cloud,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,aggregator,per_1m_input_tokens,0.19999999999999998,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383739+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,aggregator,per_1m_output_tokens,0.88,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383785+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,Qwen/Qwen3-235B-A22B-Instruct-2507,,,,aggregator,per_1m_input_cache_read_tokens,0.19999999999999998,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383793+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1,,,,aggregator,per_1m_input_tokens,0.3,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383807+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1,,,,aggregator,per_1m_output_tokens,0.95,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383812+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1,,,,aggregator,per_1m_input_cache_read_tokens,0.13,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383820+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1-Terminus,,,,aggregator,per_1m_input_tokens,0.3,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383829+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1-Terminus,,,,aggregator,per_1m_output_tokens,0.95,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383836+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1-Terminus,,,,aggregator,per_1m_input_cache_read_tokens,0.13,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383844+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.2-Exp,,,,aggregator,per_1m_input_tokens,0.27,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383853+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.2-Exp,,,,aggregator,per_1m_output_tokens,0.41,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383858+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.2-Exp,,,,aggregator,per_1m_input_cache_read_tokens,0.27,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383865+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,zai-org/GLM-4.6,,,,aggregator,per_1m_input_tokens,0.6,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383871+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,zai-org/GLM-4.6,,,,aggregator,per_1m_output_tokens,2.2,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383875+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,zai-org/GLM-4.6,,,,aggregator,per_1m_input_cache_read_tokens,0.11,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383879+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,google/gemini-2.5-flash,,,,aggregator,per_1m_input_tokens,0.3,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383885+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,google/gemini-2.5-flash,,,,aggregator,per_1m_output_tokens,2.5,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383889+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,google/gemini-2.5-flash,,,,aggregator,per_1m_input_cache_read_tokens,0.03,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383893+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite,,,,aggregator,per_1m_input_tokens,0.09999999999999999,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383900+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite,,,,aggregator,per_1m_output_tokens,0.39999999999999997,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383906+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite,,,,aggregator,per_1m_input_cache_read_tokens,0.01,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383910+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,openai/gpt-5.1,,,,aggregator,per_1m_input_tokens,1.25,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383916+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,openai/gpt-5.1,,,,aggregator,per_1m_output_tokens,10.0,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383920+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,openai/gpt-5.1,,,,aggregator,per_1m_input_cache_read_tokens,0.125,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383927+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,openai/gpt-5.1-chat,,,,aggregator,per_1m_input_tokens,1.25,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383936+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,openai/gpt-5.1-chat,,,,aggregator,per_1m_output_tokens,10.0,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383943+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,openai/gpt-5.1-chat,,,,aggregator,per_1m_input_cache_read_tokens,0.125,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383947+00:00,high,json-api,
2026-08-23,atlascloud,Atlas Cloud,openai/gpt-5.1-codex,,,,aggregator,per_1m_input_tokens,1.25,https://www.atlascloud.ai/models,2026-08-23T02:55:43.383956+00:00,high,json-api,
